codigo;conteudo;requisitos;area
301-3;Produtos e suas embalagens reaproveitados;- Percentual de produtos e suas embalagens reaproveitados para cada categoria de produto​.;Sustentabilidade|Produção|Logística
302-1;Consumo de energia dentro da organização;- Consumo total de combustíveis de fontes não renováveis e renováveis, em joules ou seus múltiplos, inclusive os tipos de combustíveis usados. <br> - Consumo total de eletricidade, aquecimento, resfriamento e vapor, em joules ou seus múltiplos. <br> - Consumo total de energia dentro da organização em joules ou seus múltiplos. <br> - Normas, metodologias, premissas e/ou ferramentas de cálculo adotadas. <br> - Fonte dos fatores de conversão utilizados.;Operações|Sustentabilidade|Meio Ambiente
302-2;Consumo de energia fora da organização;- Consumo de energia fora da organização, em joules ou seus múltiplos. <br> - Normas, metodologias, premissas e/ou ferramentas de cálculo adotadas. <br> - Fonte dos fatores de conversão utilizados.;Cadeia de Suprimentos|Sustentabilidade
302-3;Intensidade energética;"- Taxa de intensidade energética para a organização. <br> - Métrica específica (denominador) escolhida pela organização para calcular essa taxa. <br> - Tipos de energia incluídos na taxa de intensidade; se combustível, eletricidade, aquecimento, resfriamento, vapor ou todos. <br> - Se a taxa usa a energia consumida dentro da organização, fora dela, ou ambas​.";Sustentabilidade|Produção|Operações
302-4;Redução do consumo de energia;- Volume das reduções do consumo de energia obtidas diretamente em decorrência de iniciativas de conservação e eficiência, em joules ou seus múltiplos. <br> - Tipos de energia incluídos nas reduções: se combustível, eletricidade, aquecimento, resfriamento, vapor ou todos. <br> - Base usada para calcular a redução do consumo de energia, como o ano-base ou linha de base, incluindo a justificativa para sua escolha. <br> - Normas, metodologias, premissas e/ou ferramentas de cálculo adotadas​.;Sustentabilidade|Operações|Engenharia
302-5;Reduções nos requisitos energéticos de produtos e serviços;- Reduções nos requisitos energéticos de produtos e serviços vendidos alcançadas durante o período de relato, em joules ou seus múltiplos. <br> - Base usada para calcular a redução do consumo de energia, como o ano-base ou linha de base, incluindo a justificativa para sua escolha. <br> - Normas, metodologias, premissas e/ou ferramentas de cálculo adotadas​​.;Pesquisa e Desenvolvimento|Sustentabilidade|Produção
303-1;Interações com a água como um recurso compartilhado;- Descrição de como a organização interage com a água, incluindo captação, consumo e descarte. <br> - Abordagem para identificar e gerenciar impactos relacionados à água. <br> - Engajamento com stakeholders e fornecedores para gestão de recursos hídricos. <br> - Estabelecimento de objetivos e metas relacionados à água.;Sustentabilidade|Operações|Meio Ambiente
303-2;Gestão de impactos relacionados ao descarte de água;- Descrição dos padrões mínimos para a qualidade do descarte de efluentes e como foram determinados. <br> - Consideração de normas setoriais e perfis dos corpos d'água receptores.;Operações|Meio Ambiente
303-3;Captação de água;- Captação total de água de diferentes fontes (superfície, subterrânea, mar, terceiros). <br> - Captação total em áreas com estresse hídrico. <br> - Discriminação por categorias de água doce e outros tipos. <br> - Informações contextuais sobre metodologias e normas usadas para compilar dados.;Operações|Engenharia|Sustentabilidade
303-4;Descarte de água;- Descarte total de água por tipo de destinação (superfície, subterrânea, mar, terceiros). <br> - Descarte em áreas com estresse hídrico discriminado por categoria. <br> - Identificação e tratamento de substâncias prioritárias. <br> - Informações contextuais sobre normas e metodologias usadas.;Operações|Meio Ambiente|Sustentabilidade
303-5;Consumo de água;- Consumo total de água em todas as áreas e em áreas com estresse hídrico. <br> - Mudanças no armazenamento de água com impacto significativo. <br> - Informações contextuais sobre normas e metodologias usadas.;Operações|Engenharia|Sustentabilidade
